status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
310039442421596_939364779489056,"WATCH: Kez's response after taking part in a panel discussion at Women 50:50's conference.

Kez is a founding member of the Women 50:50 campaign, which calls for equal representation in Parliament, councils and on public boards. Kez spoke to delegates about Scottish Labour's specific plans to promote women's participation in public life.",Kez at Women 50:50,video,https://www.facebook.com/ScottishLabourParty/videos/939364779489056/,2015-11-12 13:05:02,51,25,5,51,0,0,0,0,0
310039442421596_939284216163779,"Nicola Sturgeon says we should judge her government on its record, but the verdict on policing is damning. 

At First Minister's Questions today Kez questioned Nicola Sturgeon about the systemic failings in Police Scotland. Things have gone badly wrong under the SNP.

Read more about here →",SNP Government must take responsibility for police failings,link,http://www.scottishlabour.org.uk/blog/entry/snp-government-must-take-responsibility-for-police-failings,2015-11-12 09:08:29,167,43,40,167,0,0,0,0,0
310039442421596_938953112863556,"Our tax credit plan is rooted in social and environmental justice.

Read about it here:
http://www.scottishlabour.org.uk/blog/entry/scotland-risks-locking-out-half-the-population-from-the-high-skilled-jobs-o",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/938953112863556/?type=3,2015-11-11 15:32:22,20,12,8,20,0,0,0,0,0
310039442421596_938952742863593,"In Kez's speech to the Royal Society of Chemistry she spoke about Scotland's need to promote more women in science.

Kez also spoke about how the SNP Government have shown contempt for the science by failing to assess scientific evidence before choosing to ban GM crops.

Read the full text of Kez's speech here:
http://www.scottishlabour.org.uk/blog/entry/scotland-risks-locking-out-half-the-population-from-the-high-skilled-jobs-o",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/938952742863593/?type=3,2015-11-11 13:15:56,63,19,28,63,0,0,0,0,0
310039442421596_938778046214396,"Former Labour Prime Minister Gordon Brown writes for the Guardian about why George Osborne is wrong on tax credits.

""...the biggest losers from his tax credit changes are not the unemployed or ""chaotic"" families but hard-working parents and their children. Under the Conservative proposals child poverty numbers will, according to the independent Resolution Foundation, rise from 2.3 million two years ago to 3.9 million in 2020 – a level of child poverty worse than at any time in the Thatcher years.""

Read it here →",Gordon Brown: My tax credits are a lifeline. Osborne is wrong to slash them,link,http://www.theguardian.com/commentisfree/2015/nov/10/tax-credits-osborne-poverty-working-parents-children?CMP=share_btn_fb,2015-11-11 05:38:07,71,23,24,71,0,0,0,0,0
310039442421596_938467932912074,"REVEALED TODAY: Botched police reform means pressure on staff rockets

Today's major review into call handling by HM Inspectorate of Constabulary in Scotland, following the M9 tragedy last summer, has  revealed a string of problems in contact centre operations at Police Scotland.

We believe more reform is now needed to restore public confidence in Scotland's policing.

Find out more:
http://www.scottishlabour.org.uk/blog/entry/botched-police-reform-means-pressure-on-staff-rockets",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/938467932912074/?type=3,2015-11-10 11:52:34,42,22,38,42,0,0,0,0,0
310039442421596_938394502919417,"Now that the final vote on the Scotland Bill in the Commons has happened it's time for the SNP to give up the grievance and start governing.

We want to use the new powers over tax and welfare to restore any money lost through George Osborne's tax credit cuts for working families in Scotland.

Find out more:

http://www.scottishlabour.org.uk/blog/entry/its-time-for-the-snp-to-stop-the-grievance-and-start-governing",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/938394502919417/?type=3,2015-11-10 08:35:27,126,64,52,126,0,0,0,0,0
310039442421596_938364109589123,"While the SNP continue to play politics of grievance around the constitution, we're focused on closing the gap between the richest and the rest in our country.

Do you want to see the new powers on tax and welfare used to make a difference? Then join Scottish Labour today:

https://scotlandjoin.labour.org.uk/",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/938364109589123/?type=3,2015-11-10 06:59:10,96,45,35,96,0,0,0,0,0
310039442421596_938024262956441,"""Labour pressure means the Vow has been delivered in full. The Scotland Bill amendments we are discussing today meet in full the promises made to people across Scotland in the Vow before the referendum. In fact, it goes beyond what was promised in the Vow. The Scottish Parliament will now be one of the most powerful devolved Parliaments in the world, with control over income tax and billions of pounds of welfare spending.""
- Shadow Scottish Secretary Ian Murray

Today, the Scotland Bill returns to the House of Commons.",We delivered the Vow,link,http://www.scottishlabour.org.uk/blog/entry/we-delivered-the-vow,2015-11-09 10:03:27,134,80,58,134,0,0,0,0,0
310039442421596_937975516294649,"""Scottish politics changed last week. It was a pretty subtle transformation, but it was significant nonetheless.""

Kez writes about tax credits, the Pearson Review and Remembrance Sunday in her Daily Record column today:","If Osborne doesn't change his mind, Scottish Labour would step in to protect working families",link,http://www.scottishlabour.org.uk/blog/entry/if-osborne-doesnt-change-his-mind-scottish-labour-would-step-in-to-protect,2015-11-09 08:18:22,39,18,16,39,0,0,0,0,0
